,Company,name,Year,Number of Records Affected,Organization Type,Reasons for Breach,Reference Link(s),domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,country_code,latitude,longitude
297,University of Utah Hospital & Clinics,university of utah hospitals and clinics,2008,2200000.0,['healthcare'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,0.0,hospital & health care,5001 - 10000,"salt lake city, utah, united states",united states,linkedin.com/company/university-of-utah-hospital,3590.0,6632.0,US,187.24.00,-11976.31.00
298,University of Wisconsin–Milwaukee,university of wisconsin milwaukee,2011,73000.0,['academic'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],uwm.edu,1956.0,higher education,5001 - 10000,"milwaukee, wisconsin, united states",united states,linkedin.com/company/university-of-wisconsin-milwaukee,3422.0,11301.0,US,187.24.00,-11976.31.00
299,Universiti Teknologi MARA,universiti teknologi mara,2019,1164540.0,['academic'],['hacked'],[['https://www.lowyat.net/2019/177033/over-1-million-uitm-students-and-alumni-personal-details-leaked-online']],uitm.edu.my,0.0,education management,1001 - 5000,"shah alam, selangor, malaysia",malaysia,linkedin.com/company/universiti-teknologi-mara,1554.0,2297.0,MY,3512.04.00,16363.46.00
300,United States Postal Service,united states postal service,2018,60000000.0,['government'],['poor security'],[['https://krebsonsecurity.com/2018/11/usps-site-exposed-data-on-60-million-users/']],usps.com,0.0,government administration,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/usps,74357.0,104159.0,US,187.24.00,-11976.31.00
301,U.S. Army,u.s. army,2011,50000.0,['military'],['accidental'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,0.0,defense & space,1001 - 5000,"natick, massachusetts, united states",united states,linkedin.com/company/us-army-natick-soldier-research-development-and-engineering-center,1184.0,2383.0,US,187.24.00,-11976.31.00
302,U.S. Army(classified Iraq War documents),u.s. army,2010,392000.0,['government'],['inside job'],[['https://www.forbes.com/sites/andygreenberg/2010/10/22/wikileaks-reveals-the-biggest-classified-data-breach-in-history/']],0,0.0,defense & space,1001 - 5000,"natick, massachusetts, united states",united states,linkedin.com/company/us-army-natick-soldier-research-development-and-engineering-center,1184.0,2383.0,US,187.24.00,-11976.31.00
303,U.S. Department of Defense,us defense department,2009,72000.0,['military'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,0.0,writing and editing,1 - 10,"garden city, new york, united states",united states,linkedin.com/company/us-defense-department,3.0,6.0,US,187.24.00,-11976.31.00
304,U.S. Department of Veteran Affairs,us veteran adm,2006,28600000.0,['government'],['lost / stolen'],"[['http://gcn.com/Articles/2009/02/02/VA-data-breach-suit-settlement.aspx'], ['https://web.archive.org/web/20100401045947/http://www.networkworld.com/news/2006/060606-active-duty-troop-information-part-of.html?nwwpkg=slideshows', 'http://www.networkworld.com/news/2006/060606-active-duty-troop-information-part-of.html?nwwpkg=slideshows']]",0,0.0,hospital & health care,11 - 50,"jacksonville, florida, united states",united states,linkedin.com/company/us-veteran-adm,6.0,7.0,US,187.24.00,-11976.31.00
305,U.S. law enforcement (70 different agencies),us government,2011,123461.0,['government'],['accidental'],"[['https://www.pcmag.com/article2/0,2817,2390683,00.asp']]",gao.gov,0.0,government administration,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/us-government,12482.0,16860.0,US,187.24.00,-11976.31.00
306,National Archives and Records Administration (U.S. military veterans records),national archives and records administration,2009,76000000.0,['military'],['lost / stolen'],[['https://www.wired.com/threatlevel/2009/10/probe-targets-archives-handling-of-data-on-70-million-vets/']],archives.gov,1934.0,government administration,1001 - 5000,"washington, district of columbia, united states",united states,linkedin.com/company/usnatarchives,578.0,1560.0,US,187.24.00,-11976.31.00
307,U.S. government (United States diplomatic cables leak),us government,2010,260000.0,['military'],['inside job'],[['https://www.theguardian.com/news/datablog/2010/nov/29/wikileaks-cables-data']],gao.gov,0.0,government administration,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/us-government,12482.0,16860.0,US,187.24.00,-11976.31.00
308,National Guard of the United States,army national guard,2009,131000.0,['military'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],nationalguard.com,0.0,military,10001+,"arlington, virginia, united states",united states,linkedin.com/company/army-national-guard,20390.0,42468.0,US,187.24.00,-11976.31.00
309,Vastaamo,psykoterapiakeskus vastaamo oy,2020,130000.0,['healthcare'],['hacked'],[['https://yle.fi/uutiset/osasto/news/psychotherapy_centres_database_hacked_patient_info_held_ransom/11605460']],vastaamo.fi,2011.0,"health, wellness and fitness",51 - 200,"helsinki, uusimaa, finland",finland,linkedin.com/company/mental-capital-care-ltd,24.0,30.0,FI,1601.11.00,12494.11.00
310,Verifications.io (first leak),verifications.io,2019,809000000.0,['online marketing'],['poor security'],"[['https://www.wired.com/story/email-marketing-company-809-million-records-exposed-online/', 'https://www.worldcat.org/issn/1059-1028']]",0,0.0,0,0,0,estonia,0,0.0,0.0,EE,9979.12.00,251.47.00
311,Verifications.io (total leaks),verifications.io,2019,2000000000.0,['online marketing'],['poor security'],[['https://www.hackread.com/verifications-io-breach-database-with-2-billion-records-leaked/']],0,0.0,0,0,0,estonia,0,0.0,0.0,EE,9979.12.00,251.47.00
312,Verizon Communications,verizon communications,2016,1500000.0,['telecoms'],['hacked'],[['http://fortune.com/2016/03/24/verizon-enterprise-data-breach/']],verizon.net,0.0,photography,51 - 200,"tampa, florida, united states",united states,linkedin.com/company/verizon-communications,31.0,51.0,US,187.24.00,-11976.31.00
313,View Media,view media,2020,38000000.0,['online marketing'],['publicly accessible'],[['https://cybernews.com/security/online-marketing-company-exposes-data-of-millions-americans/']],vmlists.com,0.0,internet,1 - 10,"kissimmee, florida, united states",united states,linkedin.com/company/vm-lists,1.0,1.0,US,187.24.00,-11976.31.00
314,Virgin Media,virgin media,2020,900000.0,['telecoms'],['accidental'],"[['https://www.techradar.com/news/virgin-media-data-breach-exposes-nearly-one-million-customer-details'], ['https://www.theregister.co.uk/2020/03/05/virgin_media_subscriber_data_leak/']]",virginmedia.com,2007.0,telecommunications,10001+,"hook, hampshire, united kingdom",united kingdom,linkedin.com/company/virgin-media,5442.0,15799.0,GB,6355.51.00,-7269.13.00
315,Virginia Department of Health,virginia department of health,2009,8257378.0,['government'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,1908.0,government administration,1001 - 5000,"richmond, virginia, united states",united states,linkedin.com/company/virginia-department-of-health,970.0,1965.0,US,187.24.00,-11976.31.00
316,Virginia Prescription Monitoring Program,virginia department of health,2009,531400.0,['healthcare'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,1908.0,government administration,1001 - 5000,"richmond, virginia, united states",united states,linkedin.com/company/virginia-department-of-health,970.0,1965.0,US,187.24.00,-11976.31.00
317,Vodafone,vodafone,2013,2000000.0,['telecoms'],['inside job'],[['http://www.securityweek.com/attacker-steals-data-2-million-vodafone-germany-customers']],vodafone.com,1982.0,telecommunications,10001+,"berks, west berkshire, united kingdom",united kingdom,linkedin.com/company/vodafone,66632.0,174892.0,GB,6355.51.00,-7269.13.00
318,VTech,vtech,2015,5000000.0,['retail'],['hacked'],[['https://www.nytimes.com/2015/12/01/business/security-breach-at-toy-maker-vtech-includes-data-on-children.html']],vtech.com,1976.0,consumer electronics,1001 - 5000,"beaverton, oregon, united states",united states,linkedin.com/company/vtech,596.0,1650.0,US,187.24.00,-11976.31.00
319,Walmart,walmart,2015,1300000.0,['retail'],['hacked'],[['https://www.nytimes.com/2015/07/18/business/cvs-and-walmart-canada-are-investigating-a-data-breach.html']],walmartcareers.com,1962.0,retail,10001+,"withee, wisconsin, united states",united states,linkedin.com/company/walmart,120753.0,272827.0,US,187.24.00,-11976.31.00
320,Washington Post,the washington post,2011,1270000.0,['media'],['hacked'],"[['https://www.pcmag.com/article2/0,2817,2388200,00.asp']]",washingtonpost.com,1877.0,media production,1001 - 5000,"washington, district of columbia, united states",united states,linkedin.com/company/the-washington-post,1843.0,5880.0,US,187.24.00,-11976.31.00
321,Washington State court system,washington state court system,2013,160000.0,['government'],['hacked'],"[['https://www.reuters.com/article/us-usa-hack-washingtonstate-idUSBRE9480YY20130509', 'https://web.archive.org/web/20150113200531/http://www.reuters.com/article/2013/05/09/us-usa-hack-washingtonstate-idUSBRE9480YY20130509'], ['http://www.courts.wa.gov/newsinfo/?fa=newsinfo.displayContent&theFile=dataBreach/home']]",0,0.0,0,0,0,united states,0,0.0,0.0,US,187.24.00,-11976.31.00
322,Wattpad,wattpad,2020,270000000.0,['web'],['hacked'],[['https://www.bleepingcomputer.com/news/security/wattpad-data-breach-exposes-account-info-for-millions-of-users/']],wattpad.com,2006.0,internet,501 - 1000,"toronto, ontario, canada",canada,linkedin.com/company/wattpad,464.0,643.0,CA,2228.46.00,-5885.31.00
323,Wawa (company),"wawa, inc.",2020,30000000.0,['retail'],['hacked'],[['https://www.digitaltrends.com/news/convenience-store-data-breach-info-found-being-sold-on-dark-web/']],wawa.com,1964.0,retail,5001 - 10000,"wawa, pennsylvania, united states",united states,linkedin.com/company/wawa-inc-,3126.0,7293.0,US,187.24.00,-11976.31.00
324,Weebly,weebly,2016,43430316.0,['web'],['hacked'],"[['http://www.ibtimes.co.uk/weebly-confirms-hack-affecting-over-40-million-users-foursquare-accounts-also-exposed-1587546'], ['https://techcrunch.com/2016/10/20/weebly-hacked-43-million-credentials-stolen/']]",weebly.com,2006.0,internet,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/weebly,178.0,441.0,US,187.24.00,-11976.31.00
325,Westpac,westpac,2019,98000.0,['financial'],['hacked'],[['https://finance.nine.com.au/business-news/westpac-data-breach-100000-australian-customers-at-risk/84c91581-90b6-464e-9137-a2d973492614']],westpac.com.au,1817.0,banking,10001+,"new york, new york, united states",united states,linkedin.com/company/westpac,10682.0,30609.0,US,187.24.00,-11976.31.00
326,Writerspace.com,writerspace,2011,62000.0,['web'],['hacked'],"[['https://www.pcmag.com/article2/0,2817,2387186,00.asp']]",writerspace.com,1998.0,marketing and advertising,1 - 10,0,united states,linkedin.com/company/writerspace,1.0,1.0,US,187.24.00,-11976.31.00
327,Xat.com,xat.com,2015,6054459.0,['web'],['social engineering'],[['https://xat.com/databreach.html']],0,0.0,0,0,"Plymouth, United Kingdom",united kingdom,0,0.0,0.0,GB,6355.51.00,-7269.13.00
328,Yahoo,yahoo!,2013,3000000000.0,['web'],['hacked'],"[['https://www.nytimes.com/2017/10/03/technology/yahoo-hack-3-billion-users.html'], ['https://www.nytimes.com/2017/10/03/technology/yahoo-hack-3-billion-users.html']]",0,0.0,internet,0,"new york, new york, united states",united states,linkedin.com/company/pitchcrunch,21.0,47.0,US,187.24.00,-11976.31.00
329,Yahoo,yahoo!,2014,500000000.0,['web'],['hacked'],"[['https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory'], ['https://www.usatoday.com/story/tech/news/2016/09/22/yahoo-breach-500-million-what-to-do/90849498/'], ['https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/'], ['https://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html'], ['https://www.bloomberg.com/news/articles/2016-09-22/yahoo-says-at-least-500-million-accounts-breached-in-hack-attack']]",0,0.0,internet,0,"new york, new york, united states",united states,linkedin.com/company/pitchcrunch,21.0,47.0,US,187.24.00,-11976.31.00
330,Yahoo Japan,yahoo! japan,2013,22000000.0,['web'],['hacked'],[['https://www.reuters.com/article/idUSBRE94G0P620130517']],0,1996.0,internet,1001 - 5000,"tokyo, tokyo, japan",japan,linkedin.com/company/yahoojapan,671.0,1113.0,JP,3449.44.00,4353.24.00
331,Yahoo! Voices,yahoo!,2012,450000.0,['web'],['hacked'],"[['http://it.slashdot.org/story/12/07/12/1243217/nearly-half-a-million-yahoo-passwords-leaked-updated'], ['https://www.pcmag.com/article2/0,2817,2407015,00.asp']]",0,0.0,internet,51 - 200,"new york, new york, united states",united states,linkedin.com/company/pitchcrunch,21.0,47.0,US,187.24.00,-11976.31.00
332,Yale University,yale university,2010,43000.0,['academic'],['accidental'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,0.0,higher education,5001 - 10000,"new haven, connecticut, united states",united states,linkedin.com/company/yale-university-cp,3904.0,14156.0,US,187.24.00,-11976.31.00
333,YouTube,youtube,2020,4000000.0,['social network'],['poor security'],[['https://www.forbes.com/sites/daveywinder/2020/08/19/massive-data-leak235-million-instagram-tiktok-and-youtube-user-profiles-exposed/']],youtube.com,2005.0,internet,10001+,"san bruno, california, united states",united states,linkedin.com/company/youtube,15319.0,19222.0,US,187.24.00,-11976.31.00
334,Zappos,zappos family of companies,2012,24000000.0,['web'],['hacked'],[['https://www.forbes.com/sites/andygreenberg/2012/01/15/zappos-says-hackers-accessed-24-million-customers-account-details/']],zappos.com,1999.0,retail,1001 - 5000,"las vegas, nevada, united states",united states,linkedin.com/company/zappos.com,1015.0,2498.0,US,187.24.00,-11976.31.00
335,Zynga,zynga,2019,173000000.0,['social network'],['hacked'],"[['https://venturebeat.com/2019/09/30/words-with-friends-player-data-allegedly-stolen-for-218-million-users/'], ['https://www.theverge.com/2019/12/19/21029682/zynga-hack-words-with-friends-draw-something-password-data-breach']]",zynga.com,2007.0,computer games,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/zynga,1186.0,4872.0,US,187.24.00,-11976.31.00
336,Unknown agency(believed to be tied to United States Census Bureau),us census bureau,2020,200000000.0,['government'],['accidental'],[['https://www.techradar.com/news/major-data-breach-exposes-database-of-200-million-users']],census.gov,1902.0,government administration,5001 - 10000,"washington, district of columbia, united states",united states,linkedin.com/company/us-census-bureau,3751.0,20205.0,US,187.24.00,-11976.31.00
337,National Health Information Center (NCZI) of Slovakia,national health information center (nczi) of slovakia,2020,391250.0,['healthcare'],['poor security'],[['https://spectator.sme.sk/c/22490407/coronavirus-app-reveals-personal-data-it-security-firm-found.html']],0,0.0,0,0,0,united states,0,0.0,0.0,US,187.24.00,-11976.31.00
338,50 companies and government institutions,50 companies and government institutions,2022,6400000.0,['various'],['poor security'],"[['https://tweakers.net/nieuws/193238/hackersclub-ccc-vindt-6-komma-4-miljoen-persoonsgegevens-via-vijftigtal-datalekken.html'], ['https://www.ccc.de/de/updates/2022/web-patrouille-ccc']]",0,0.0,0,0,0,other,0,0.0,0.0,0,0.0,0.0
339,IKEA,ikea,2022,95000.0,['retail'],['accidental'],[['https://toronto.ctvnews.ca/ikea-canada-confirms-data-breach-involving-personal-information-of-approximately-95-000-customers-1.5892457']],ikea.jo,2008.0,retail,0,"Delft, Netherlands",netherlands,linkedin.com/company/ikea-amman,113.0,300.0,NL,2262.33.00,4859.26.00
340,Consumer Financial Protection Bureau,consumer financial protection bureau,2023,256000.0,['government'],['poor security'],[['https://news.bloomberglaw.com/privacy-and-data-security/cfpb-confirms-consumer-records-breach-as-lawmakers-probe-agency']],cfpb.gov,2010.0,government administration,1001 - 5000,"washington, district of columbia, united states",united states,linkedin.com/company/consumer-financial-protection-bureau,879.0,1648.0,US,187.24.00,-11976.31.00
341,Directorate General of Immigration of Indonesia,directorate general of immigration of indonesia,2023,34900867.0,['government'],['hacked'],[['https://secry.me/explore/news/34-millions-passport-of-indonesian-leaked-by-bjorka/']],0,0.0,0,0,0,indonesia,0,0.0,0.0,ID,-13154.35.00,15468.27.00
342,Directorate General of Population and Civil Registration (Dukcapil),directorate general of population and civil registration (dukcapil),2023,337225463.0,['government'],['leaked'],[['https://secry.me/explore/news/337-million-indonesian-dukcapil-data-leaked-and-sold-by-hacker-rrr/']],0,0.0,0,0,0,indonesia,0,0.0,0.0,ID,-13154.35.00,15468.27.00
343,23andMe data leak,23andme,2023,6900000.0,['biotechnology'],['hacked'],[['https://www.bbc.com/news/technology-67624182']],23andme.com,2006.0,biotechnology,501 - 1000,"mountain view, california, united states",united states,linkedin.com/company/23andme,322.0,523.0,US,187.24.00,-11976.31.00
344,Chess.com,chess.com,2023,800000.0,['gaming'],['web scraping'],"[['https://www.hackread.com/hacker-leaks-scraped-chess-com-user-records/'], ['https://web.archive.org/web/20240112233729/https://breachforums.is/Thread-Chess-com-Scrape-database-800k', 'https://breachforums.is/']]",chess.com,2006.0,internet,51 - 200,"mountain view, california, united states",united states,linkedin.com/company/chess.com,77.0,116.0,US,187.24.00,-11976.31.00
345,DC Health Link,dc health benefit exchange,2023,56000.0,['healthcare'],['misconfig'],[['https://apnews.com/article/congress-dc-data-breach-cyber-security-7505d83dfa5ddb06765e6ff4de9abfcc']],dchbx.com,2012.0,insurance,51 - 200,"washington, district of columbia, united states",united states,linkedin.com/company/dc-health-benefit-exchange,54.0,97.0,US,187.24.00,-11976.31.00
346,KitchenPal (iCuisto),icuisto,2023,100000.0,['web'],['hacked'],[['https://restoreprivacy.com/hackers-claim-attack-on-general-electric-leak-data-samples/']],icuisto.fr,2013.0,consumer services,1 - 10,"Paris, France",france,linkedin.com/company/icuisto,0.0,1.0,FR,3839.58.00,3564.29.00
347,City of Helsinki’s educational and training departments,finland governemnet,2024,120000.0,['government'],['hacked'],[['https://yle.fi/a/74-20088448?origin=rss']],,,,,"helsinki, uusimaa, finland",finland,,,,FI,1601.11.00,12494.11.00
